-16,0566
-18,8348
-21,977
-24,666
-25,5431
-24,6502
-22,6262
-19,9551
-16,9145
-14,21
-11,9948
-10,0824
-9,18751
-8,75885
-7,94842
-6,41934
-4,62827
-2,85461
-0,540808
2,21546
4,60908
7,08934
9,63965
12,1668
14,3515
15,4755
16,0681
16,1367
15,752
14,7273
12,8771
10,9775
9,21347
8,35686
8,70078
9,29125
9,82265
9,82611
9,0261
7,384
5,46034
4,11992
3,03588
1,6882
0,116185
-1,15694
-2,3419
-3,61026
-4,51233
-5,24407
-5,73513
-5,64616
-4,7839
-3,46713
-2,17857
-1,00784
0,137063
1,03292
1,69756
2,31959
2,99597
3,58261
3,97477
4,01629
3,69042
3,27004
3,13709
3,64131
4,5645
5,62312
7,18218
9,58175
12,699
15,5352
18,4283
20,4223
21,0093
20,4235
19,4418
18,2086
16,7594
15,0168
13,0833
11,4036
9,56532
7,75978
5,99297
3,99837
1,34733
-1,6116
-4,30052
-7,22978
-10,6608
-14,0802
-16,9957
-19,6633
-21,5574
-22,3389
-22,2535
-21,8335
-21,85
-21,5106
-21,0029
-20,1835
-18,93
-17,4892
-16,0362
-14,7476
-12,7583
-10,0111
-6,71844
-3,22764
0,460054
3,86417
6,49251
8,31147
9,56041
10,4295
10,9072
11,2285
10,4514
8,95603
7,49916
6,37165
5,37083
4,55593
4,04112
3,39982
2,65307
1,82046
1,23978
0,998553
0,44588
-0,337293
-1,33406
-2,01298
-2,49018
-3,03461
-3,55916
-4,23328
-4,98446
-6,01136
-7,87022
-10,0103
-11,7626
-12,9388
-13,4027
-13,5644
-13,0106
-11,6452
-9,48296
-5,96446
-1,31797
4,56079
10,7044
17,0126
22,5658
27,0602
30,3876
32,898
34,2717
34,3519
33,972
33,288
33,1076
34,1964
36,4165
39,8962
43,5906
47,7722
51,4105
54,9461
57,9146
60,3073
61,6977
62,2013
62,3101
63,0251
62,3595
60,2694
57,07
53,0361
48,3509
42,0664
34,926
28,2913
22,0625
16,5552
11,954
8,77866
7,39206
7,63764
9,69964
13,0513
17,9507
23,5295
29,6416
33,8059
36,2591
38,0095
38,474
37,9378
37,4522
37,0328
36,2329
34,5012
31,1944
26,5521
21,2849
16,341
11,6046
7,56928
4,53975
2,20137
0,114471
-1,39469
-2,20542
-2,39879
-2,17991
-1,52968
-0,592987
0,459743
1,79732
3,6508
5,46597
6,99963
8,72027
10,9576
13,2677
15,6708
17,6444
19,4551
20,8441
22,1745
25,0224
28,6674
32,6343
35,648
37,651
38,1583
37,2006
35,5006
33,5416
31,5107
28,6497
24,4561
18,3903
11,2513
3,89728
-3,39878
-9,8002
-15,7064
-20,3842
-23,3895
-24,3115
-23,7953
-21,4947
-17,3637
-12,0037
-6,24155
-0,615366
4,0228
8,11257
11,6432
14,8984
17,5545
19,7197
22,4348
25,8849
29,9105
33,5373
36,1687
37,966
38,4036
37,8926
38,5924
40,1024
40,7181
40,0749
37,6588
33,5808
28,127
22,3788
15,8555
8,70682
1,20053
-6,1643
-13,582
-20,9812
-27,1455
-31,3652
-33,8836
-34,3697
-33,6154
-32,0265
-30,8643
-30,531
-28,8854
-26,7525
-25,3093
-23,7522
-21,6842
-19,4794
-17,6957
-16,1166
-14,0211
-10,8675
-6,90655
-2,61701
2,93753
9,34
15,3165
20,0125
23,8057
26,359
28,627
30,8821
32,6379
33,4477
32,6147
30,4684
28,0135
25,8335
23,4068
21,6125
20,8434
21,4697
23,467
25,97
27,4596
27,9629
28,3868
28,4661
27,735
26,5582
25,7798
25,0406
24,1337
22,9879
21,3112
19,5098
18,0584
17,5952
17,9991
18,5749
18,6268
18,2313
17,6178
16,7302
15,3671
13,4187
10,1712
5,59008
0,61178
-5,41304
-12,5329
-20,7274
-29,6537
-36,938
-42,0432
-45,2629
-47,1328
-46,5586
-44,4183
-41,3933
-38,2099
-35,4749
-33,2531
-30,8269
-27,9353
-24,6992
-21,6366
-18,7357
-15,7905
-12,7392
-10,2428
-7,95913
-5,78717
-3,55135
-1,85278
-0,624888
0,11194
0,770703
0,902287
0,124631
-1,0321
-1,72376
-1,55631
-0,892376
-0,168007
0,508497
1,35436
2,35603
3,8683
6,13991
8,06543
9,53452
11,0214
12,5437
13,9611
15,0409
16,9055
19,818
23,565
27,7357
31,8273
35,6143
38,3965
41,1788
44,029
46,383
47,996
49,2094
51,0071
53,7763
57,7736
